id_act_tra,nom_con,num_ide,no_act_tra,fec_pub
120,Rutas y Cargas 76,58743077-8,ACT-1044-54,2023-07-18
121,Rutas y Cargas 91,46705691-2,ACT-5635-91,2023-02-08
122,Transporte Urbano 21,30360131-7,ACT-2238-57,2023-10-04
123,Transporte Rapido 1,80451026-3,ACT-8838-44,2023-12-04
124,Cargas Nacionales 40,99157876-3,ACT-4688-37,2023-01-15
125,Rutas Directas 16,55002234-3,ACT-1650-94,2023-03-14
126,Servicios Viales 39,48604445-8,ACT-8257-66,2023-08-13
127,Rutas y Cargas 17,44163864-4,ACT-1560-71,2023-04-28
128,Movilizacion Segura 61,30800339-8,ACT-7615-45,2023-05-19
129,Conexion Vial 59,57305837-9,ACT-1796-66,2023-02-14
130,Rutas y Cargas 62,66610590-3,ACT-2563-96,2023-02-20
131,Express Nacional 31,29291680-5,ACT-2138-13,2023-10-16
132,Transportes del Norte 95,82729636-1,ACT-9386-64,2023-07-21
133,Servicios Viales 91,39417532-9,ACT-2015-64,2023-02-18
134,Servicios Viales 44,97221844-2,ACT-2809-80,2023-12-24
135,Rutas Directas 89,67833146-6,ACT-2870-19,2023-11-24
136,Transporte Urbano 19,49455149-4,ACT-9339-83,2023-03-31
137,Rutas y Cargas 11,90964328-8,ACT-2806-30,2023-05-06
138,Logistica Nacional 22,95766178-6,ACT-2295-84,2023-03-16
139,Rutas Directas 17,73348517-5,ACT-5310-52,2023-12-04
140,Logistica Nacional 92,80427326-8,ACT-9271-69,2023-10-22
141,Rutas Directas 45,77953757-4,ACT-3456-99,2023-02-13
142,Express Nacional 17,61726752-7,ACT-9838-57,2023-02-14
143,Servicios Viales 32,20508573-8,ACT-2551-17,2023-01-21
144,Envios Seguros 28,51989872-9,ACT-8325-51,2023-07-09
145,Logistica Express 43,40905799-5,ACT-4163-60,2023-03-11
146,Rapido y Seguro 38,16858585-1,ACT-9260-83,2023-08-17
147,Rapido y Seguro 52,74012888-8,ACT-4723-72,2023-12-09
148,Transporte Rapido 42,87519690-9,ACT-6906-94,2023-01-26
149,Envios Seguros 87,78069603-9,ACT-7407-36,2023-05-30
150,Rutas y Cargas 40,55575275-9,ACT-2435-77,2023-12-12
151,Movilizacion Segura 87,33268148-4,ACT-2485-22,2023-07-06
152,Servicios Viales 77,65392727-3,ACT-5624-62,2023-04-05
153,Express Nacional 22,35048990-3,ACT-6968-26,2023-05-05
154,Rutas Directas 86,27744336-5,ACT-7020-97,2023-01-16
155,Fletes Seguros 10,16038187-5,ACT-7030-42,2023-05-03
156,Servicios de Transporte 3,75000786-8,ACT-7343-12,2023-02-26
157,Servicios de Transporte 14,89336973-9,ACT-1971-39,2023-10-03
158,Transporte Economico 98,20120765-9,ACT-5489-19,2023-01-20
159,Rutas y Cargas 57,34101453-4,ACT-7632-58,2023-05-19
160,Rapido y Seguro 54,24140317-6,ACT-4937-18,2023-06-08
161,Viajes y Cargas 63,98542177-6,ACT-3067-91,2023-01-07
162,Rutas y Cargas 72,15950013-9,ACT-6729-77,2023-09-15
163,Viajes y Cargas 4,32586650-4,ACT-8168-12,2023-12-25
164,Transporte Urbano 1,36615961-9,ACT-2527-98,2023-09-17
165,Logistica Express 64,63409659-5,ACT-2405-87,2023-02-12
166,Envia Facil 6,68278555-5,ACT-5808-25,2023-04-21
167,Rutas y Cargas 68,63096117-3,ACT-3581-29,2023-03-15
168,Transportes del Norte 51,56845683-7,ACT-7224-84,2023-07-03
169,Cargas Express 11,69050409-6,ACT-7243-91,2023-06-11
170,Transportes del Norte 5,49240092-2,ACT-8073-73,2023-04-17
171,Cargas Express 60,66103559-5,ACT-8036-46,2023-08-07
172,Transporte Rapido 39,74984536-8,ACT-3248-57,2023-09-28
173,Rutas Directas 64,81079125-8,ACT-6446-67,2023-08-05
174,Rapido y Seguro 25,65010780-6,ACT-2875-30,2023-11-19
175,Logistica Express 17,19705443-2,ACT-5162-73,2023-01-01
176,Transporte Urbano 22,54440120-5,ACT-4374-84,2023-06-23
177,Cargas Express 76,67354852-9,ACT-5797-93,2023-05-08
178,Transportes del Norte 79,85881113-8,ACT-7882-28,2023-09-11
179,Express Nacional 9,20493805-8,ACT-9168-11,2023-05-02
180,Fletes Seguros 72,36265120-6,ACT-5883-13,2023-06-17
181,Transportes del Norte 9,91229224-8,ACT-7290-22,2023-01-04
182,Rapido y Seguro 86,59341170-4,ACT-5756-54,2023-03-17
183,Servicios Viales 89,15040510-3,ACT-2230-97,2023-07-23
184,Viajes y Cargas 54,55035865-7,ACT-4008-32,2023-07-28
185,Servicios de Transporte 28,19435843-8,ACT-7067-85,2023-07-08
186,Transporte Rapido 89,71163841-2,ACT-8536-31,2023-10-07
187,Envia Facil 16,35072064-6,ACT-6156-70,2023-11-24
188,Cargas Express 42,44012553-1,ACT-4034-13,2023-12-24
189,Movilizacion Segura 15,90748756-8,ACT-4226-98,2023-03-31
190,Transporte Rapido 41,82031543-6,ACT-1478-61,2023-03-04
191,Rutas Directas 56,53206551-4,ACT-8013-26,2023-04-13
192,Viajes y Cargas 30,93372713-9,ACT-5135-79,2023-04-08
193,Rutas Directas 49,98302131-8,ACT-6681-94,2023-12-21
194,Movilizacion Segura 40,95702958-5,ACT-3236-68,2023-04-17
195,Viajes y Cargas 28,67545437-3,ACT-4071-84,2023-11-06
196,Envia Facil 85,10298469-9,ACT-9579-69,2023-10-03
197,Movilizacion Segura 95,27548593-2,ACT-7377-19,2023-05-16
198,Transporte Urbano 66,48937169-9,ACT-3121-19,2023-03-15
199,Transporte Economico 36,39426387-2,ACT-1119-64,2023-02-11
200,Servicios de Transporte 46,46869721-6,ACT-8293-39,2023-04-25
201,Rapido y Seguro 96,11341704-1,ACT-2612-10,2023-10-26
202,Fletes Seguros 30,84502249-9,ACT-1534-26,2023-02-23
203,Viajes y Cargas 62,29892315-8,ACT-1250-61,2023-08-04
204,Envios Seguros 24,30181491-3,ACT-3073-84,2023-06-28
205,Cargas Nacionales 67,19914394-7,ACT-8336-81,2023-07-13
206,Rutas y Cargas 67,58592772-6,ACT-3242-14,2023-12-06
207,Transporte Rapido 22,92163474-9,ACT-9943-13,2023-02-18
208,Rapido y Seguro 62,52275469-2,ACT-8369-49,2023-07-31
209,Rutas Directas 22,33902672-4,ACT-5373-52,2023-09-14
210,Cargas Express 87,83171418-1,ACT-4001-10,2023-01-21
211,Cargas Express 25,25359936-2,ACT-4693-95,2023-10-17
212,Logistica Nacional 91,12557540-6,ACT-4075-13,2023-11-28
213,Transportes del Norte 1,25722686-4,ACT-3240-38,2023-06-20
214,Logistica Nacional 33,34960795-8,ACT-7453-86,2023-02-27
215,Transporte Urbano 69,80021885-9,ACT-9325-92,2023-12-12
216,Envios Seguros 51,69036374-5,ACT-7079-87,2023-12-18
217,Rapido y Seguro 52,78580372-9,ACT-5174-28,2023-01-21
218,Viajes y Cargas 86,90816486-9,ACT-4746-15,2023-07-24
219,Servicios Viales 70,40334577-6,ACT-5323-11,2023-10-31
220,Servicios Viales 26,19410848-5,ACT-4532-45,2023-02-09
221,Cargas Nacionales 68,55743640-9,ACT-8823-31,2023-07-02
222,Envia Facil 37,18145147-4,ACT-2311-27,2023-06-01
223,Transporte Rapido 76,19707971-2,ACT-9586-91,2023-04-17
224,Servicios Viales 50,39140982-6,ACT-2072-25,2023-05-11
225,Transporte Urbano 78,25633554-1,ACT-6670-15,2023-01-29
226,Transporte Urbano 35,29323145-9,ACT-5730-77,2023-05-28
227,Envios Seguros 78,11521507-1,ACT-3216-14,2023-01-26
228,Transportes del Norte 59,60802354-3,ACT-8933-15,2023-12-18
229,Express Nacional 70,85892086-4,ACT-8429-81,2023-08-12
230,Conexion Vial 56,21095207-1,ACT-7805-72,2023-03-08
231,Logistica Express 27,53861756-4,ACT-9379-87,2023-06-16
232,Transporte Urbano 17,48362555-2,ACT-2937-57,2023-01-03
233,Rutas y Cargas 99,36033895-1,ACT-5566-86,2023-12-05
234,Envia Facil 88,20845395-3,ACT-4358-20,2023-12-09
235,Cargas Express 92,69960423-8,ACT-3175-97,2023-09-05
236,Transporte Rapido 14,38336158-9,ACT-6039-26,2023-01-28
237,Viajes y Cargas 93,23736403-7,ACT-6205-19,2023-06-13
238,Rutas Directas 75,39119103-4,ACT-2843-89,2023-01-14
239,Conexion Vial 22,56371397-7,ACT-3474-37,2023-04-26
240,Viajes y Cargas 66,49352970-7,ACT-9461-63,2023-07-25
241,Servicios de Transporte 36,31718235-1,ACT-5628-31,2023-08-30
242,Transportes del Norte 73,68922574-7,ACT-4841-51,2023-01-01
243,Transporte Economico 55,44682487-3,ACT-4339-23,2023-10-31
244,Rutas Directas 16,60826976-5,ACT-6282-92,2023-08-27
245,Viajes y Cargas 77,84832965-9,ACT-1752-13,2023-11-13
246,Viajes y Cargas 85,42444633-6,ACT-3983-45,2023-04-15
247,Cargas Express 50,75384086-8,ACT-1097-90,2023-08-17
248,Envia Facil 76,87995295-6,ACT-8315-37,2023-06-12
249,Transportes del Norte 4,35545823-7,ACT-2540-61,2023-09-22
250,Envios Seguros 52,23360863-7,ACT-8501-54,2023-10-06
251,Rapido y Seguro 24,44558724-3,ACT-5834-35,2023-06-15
252,Logistica Nacional 39,34495879-8,ACT-1108-19,2023-09-27
253,Logistica Express 89,41995889-2,ACT-8485-60,2023-05-27
254,Transporte Urbano 14,26390337-1,ACT-3521-86,2023-09-02
255,Servicios Viales 60,19427272-1,ACT-8136-51,2023-03-30
256,Envia Facil 31,27146495-6,ACT-1062-94,2023-12-15
257,Servicios Viales 43,53868390-4,ACT-1284-50,2023-06-22
258,Transportes del Norte 41,47033265-8,ACT-6802-87,2023-03-07
259,Express Nacional 71,79763241-9,ACT-3456-92,2023-03-03
260,Cargas Express 39,11530149-5,ACT-3842-59,2023-12-10
261,Logistica Express 87,86762398-1,ACT-2218-90,2023-06-03
262,Envia Facil 17,27784166-8,ACT-4717-35,2023-12-31
263,Transportes del Norte 23,14338583-8,ACT-7225-51,2023-12-04
264,Conexion Vial 30,66091918-3,ACT-2125-20,2023-02-04
265,Envios Seguros 36,69897479-6,ACT-5797-54,2023-11-15
266,Transporte Economico 84,47336118-4,ACT-8553-63,2023-11-13
267,Logistica Nacional 9,36512040-3,ACT-9997-55,2023-09-05
268,Cargas Express 51,76229043-4,ACT-6670-65,2023-08-30
269,Viajes y Cargas 35,16069327-3,ACT-5076-67,2023-04-18
270,Logistica Express 46,39652371-7,ACT-5586-82,2023-06-02
271,Transportes del Norte 57,29531208-6,ACT-6531-62,2023-02-06
272,Rapido y Seguro 45,51653934-6,ACT-4202-69,2023-06-16
273,Rapido y Seguro 8,73505367-6,ACT-5388-54,2023-07-29
274,Conexion Vial 63,84315166-2,ACT-7361-92,2023-12-19
275,Cargas Express 9,93737336-4,ACT-2100-67,2023-10-25
276,Transportes del Norte 72,41535534-5,ACT-3316-84,2023-01-08
277,Cargas Express 3,49103502-7,ACT-1918-68,2023-01-12
278,Rutas y Cargas 27,71891024-3,ACT-1874-60,2023-08-04
279,Servicios Viales 57,57605006-8,ACT-5415-94,2023-01-15
280,Servicios de Transporte 59,97313615-6,ACT-6892-20,2023-05-07
281,Rapido y Seguro 43,15558054-4,ACT-3512-17,2023-07-28
282,Servicios de Transporte 63,87429264-8,ACT-7236-73,2023-10-04
283,Logistica Nacional 38,84410237-1,ACT-9160-63,2023-07-18
284,Envia Facil 1,31246743-6,ACT-3164-46,2023-02-07
285,Express Nacional 59,39185636-1,ACT-8248-45,2023-05-08
286,Servicios de Transporte 77,77047405-9,ACT-7351-34,2023-07-26
287,Rutas y Cargas 21,75493390-7,ACT-7767-28,2023-05-04
288,Envios Seguros 52,18295909-6,ACT-5921-10,2023-03-18
289,Logistica Nacional 21,73076816-1,ACT-3951-67,2023-10-21
290,Rapido y Seguro 35,99811265-5,ACT-9603-79,2023-08-31
291,Envios Seguros 77,34719042-5,ACT-5302-16,2023-08-19
292,Rutas Directas 45,38578204-4,ACT-2940-65,2023-07-20
293,Transporte Urbano 48,42143196-5,ACT-9771-91,2023-10-15
294,Movilizacion Segura 38,96389155-3,ACT-6687-50,2023-05-15
295,Express Nacional 86,65129611-9,ACT-3950-55,2023-11-21
296,Cargas Nacionales 54,48305122-1,ACT-8665-64,2023-08-26
297,Cargas Express 10,35224811-4,ACT-3437-44,2023-04-21
298,Transporte Rapido 36,63675750-5,ACT-9731-12,2023-06-14
299,Cargas Nacionales 23,95475713-1,ACT-8815-62,2023-02-20
300,Rapido y Seguro 62,50134914-4,ACT-8493-31,2023-12-20
301,Servicios Viales 10,43744770-8,ACT-6307-42,2023-09-01
302,Envia Facil 77,90010541-1,ACT-5477-71,2023-03-06
303,Envios Seguros 98,36517870-7,ACT-6782-71,2023-05-22
304,Rapido y Seguro 79,32002743-2,ACT-2045-85,2023-11-01
305,Rutas y Cargas 63,60673501-5,ACT-8293-44,2023-05-20
306,Envios Seguros 5,64605596-1,ACT-4106-35,2023-03-22
307,Rutas Directas 61,48178664-3,ACT-1001-22,2023-03-10
308,Transporte Rapido 83,79670211-9,ACT-7590-95,2023-02-23
309,Servicios de Transporte 76,22155156-9,ACT-6430-89,2023-08-07
310,Viajes y Cargas 78,76610648-7,ACT-4477-37,2023-12-25
311,Logistica Nacional 92,57397511-1,ACT-8470-10,2023-04-21
312,Movilizacion Segura 14,21522885-2,ACT-3525-98,2023-05-27
313,Transporte Urbano 97,46321468-5,ACT-4495-58,2023-01-26
314,Envia Facil 61,20575500-4,ACT-5425-47,2023-02-01
315,Fletes Seguros 18,52010334-3,ACT-9999-23,2023-05-29
316,Transportes del Norte 53,46201646-7,ACT-9557-15,2023-12-23
317,Cargas Nacionales 8,84457095-8,ACT-5170-92,2023-11-08
318,Cargas Express 32,36434610-6,ACT-7245-46,2023-07-22
319,Logistica Express 66,48688678-1,ACT-7524-41,2023-02-01
320,Transportes del Norte 89,73018404-9,ACT-5537-98,2023-05-17
321,Transporte Economico 81,49532214-6,ACT-8237-12,2023-06-11
322,Cargas Express 69,71861118-9,ACT-5914-12,2023-10-14
323,Transporte Rapido 37,39535611-4,ACT-8769-56,2023-07-13
324,Servicios Viales 93,81594551-4,ACT-1305-55,2023-04-20
325,Movilizacion Segura 55,76567194-7,ACT-6448-48,2023-02-12
326,Logistica Express 98,13300445-5,ACT-2067-89,2023-11-02
327,Transportes del Norte 24,30674863-9,ACT-1506-93,2023-05-25
328,Fletes Seguros 97,37824739-5,ACT-3166-62,2023-12-24
329,Movilizacion Segura 99,16414605-1,ACT-7346-17,2023-08-12
330,Conexion Vial 5,25914114-5,ACT-4501-67,2023-09-08
331,Fletes Seguros 33,10343042-1,ACT-9466-78,2023-01-24
332,Cargas Express 19,47989429-2,ACT-9738-57,2023-07-08
333,Movilizacion Segura 23,49604725-4,ACT-4741-76,2023-08-16
334,Cargas Nacionales 34,52369240-9,ACT-2886-59,2023-07-24
335,Logistica Nacional 39,55772676-2,ACT-6235-19,2023-02-15
336,Cargas Nacionales 31,28987795-8,ACT-7834-81,2023-04-13
337,Envios Seguros 91,66372745-8,ACT-1798-98,2023-09-04
338,Envios Seguros 30,39963670-2,ACT-1796-41,2023-05-27
339,Movilizacion Segura 39,54506522-7,ACT-9558-55,2023-01-22
340,Servicios de Transporte 75,89757527-9,ACT-8582-99,2023-10-01
341,Rutas Directas 68,23062868-3,ACT-3343-17,2023-06-26
342,Movilizacion Segura 58,53802150-5,ACT-8910-13,2023-10-23
343,Conexion Vial 44,87913524-2,ACT-9036-36,2023-08-11
344,Rapido y Seguro 28,56440593-8,ACT-7352-76,2023-02-22
345,Rapido y Seguro 71,60106908-9,ACT-6669-70,2023-08-20
346,Transporte Economico 84,44137301-4,ACT-7086-68,2023-04-22
347,Transportes del Norte 38,94263635-3,ACT-3540-99,2023-06-12
348,Conexion Vial 7,15409624-4,ACT-1247-17,2023-11-04
349,Movilizacion Segura 12,12574620-5,ACT-3989-74,2023-04-15
350,Envia Facil 6,27697557-5,ACT-5675-66,2023-10-22
351,Servicios Viales 98,76541432-3,ACT-4898-28,2023-06-16
352,Transporte Rapido 47,74086068-9,ACT-5693-35,2023-10-02
353,Movilizacion Segura 10,51696077-9,ACT-8281-18,2023-04-07
354,Rutas Directas 99,49694463-3,ACT-6980-81,2023-07-23
355,Transporte Urbano 9,41514427-9,ACT-4906-21,2023-10-31
356,Rutas y Cargas 25,76860716-1,ACT-7935-73,2023-11-20
357,Servicios de Transporte 86,23913715-2,ACT-2726-87,2023-08-22
358,Rutas Directas 55,42261106-5,ACT-9058-31,2023-09-23
359,Envios Seguros 26,11385969-7,ACT-9212-81,2023-10-25
360,Express Nacional 81,99445200-7,ACT-8533-43,2023-05-10
361,Rutas Directas 17,42353744-8,ACT-9207-46,2023-09-19
362,Movilizacion Segura 15,24829165-5,ACT-9602-15,2023-06-03
363,Viajes y Cargas 88,14208310-3,ACT-3346-77,2023-08-08
364,Rapido y Seguro 8,62224868-9,ACT-7256-42,2023-01-01
365,Transporte Economico 77,18243503-7,ACT-1378-62,2023-06-12
366,Viajes y Cargas 14,56209136-8,ACT-2681-78,2023-01-28
367,Movilizacion Segura 51,75030630-3,ACT-8697-16,2023-07-27
368,Servicios Viales 79,83254855-9,ACT-1680-35,2023-03-13
369,Transporte Rapido 32,82429419-3,ACT-5783-59,2023-02-11
370,Transporte Rapido 53,76369262-6,ACT-3251-30,2023-11-10
371,Servicios de Transporte 85,87245929-1,ACT-3557-88,2023-08-07
372,Transporte Economico 63,87405244-5,ACT-4279-63,2023-03-21
373,Logistica Express 23,71827137-2,ACT-9635-65,2023-01-05
374,Movilizacion Segura 65,91555819-5,ACT-4228-50,2023-10-10
375,Rapido y Seguro 72,69597058-2,ACT-5752-33,2023-08-11
376,Logistica Nacional 37,80220607-2,ACT-6634-13,2023-01-07
377,Envia Facil 75,48273891-5,ACT-6757-24,2023-08-28
378,Servicios Viales 97,91156591-3,ACT-3266-41,2023-11-21
379,Movilizacion Segura 78,98083022-8,ACT-6702-10,2023-01-18
380,Conexion Vial 70,34331801-5,ACT-3568-77,2023-01-20
381,Fletes Seguros 52,64439750-3,ACT-3735-83,2023-04-09
382,Servicios de Transporte 12,49464329-8,ACT-7680-74,2023-09-21
383,Transportes del Norte 13,92841866-3,ACT-3576-63,2023-09-29
384,Transportes del Norte 63,34966803-8,ACT-6461-58,2023-07-27
385,Movilizacion Segura 1,65919155-4,ACT-4253-10,2023-07-22
386,Fletes Seguros 78,58314138-7,ACT-2689-40,2023-10-25
387,Rutas Directas 59,54459982-2,ACT-5851-34,2023-02-08
388,Fletes Seguros 67,44006974-6,ACT-5682-44,2023-08-16
389,Transporte Urbano 50,37635561-2,ACT-2910-83,2023-09-16
390,Envia Facil 18,93906132-9,ACT-3587-32,2023-06-01
391,Rutas y Cargas 85,17186992-5,ACT-7502-31,2023-06-14
392,Movilizacion Segura 77,33231096-1,ACT-1838-49,2023-01-13
393,Express Nacional 18,28552198-3,ACT-6441-56,2023-03-12
394,Transporte Economico 70,52743834-7,ACT-8945-65,2023-03-25
395,Transportes del Norte 64,87977951-4,ACT-8107-55,2023-03-12
396,Transporte Rapido 92,35255776-3,ACT-8830-73,2023-04-28
397,Transporte Rapido 17,35541510-4,ACT-5796-69,2023-03-01
398,Servicios de Transporte 49,89171389-3,ACT-5930-59,2023-01-28
399,Rutas Directas 35,81059776-6,ACT-3828-74,2023-01-19
400,Envios Seguros 34,84909494-8,ACT-4210-87,2023-10-02
401,Fletes Seguros 17,50011580-7,ACT-7635-60,2023-04-11
